Image,Name,Capacity,Location,Surface,Team,Opened,Distance to center field,Type,Roof type
,American Family Field‡,"41,900","Milwaukee, Wisconsin",Grass,Milwaukee Brewers,2001,400 feet (122 m),Retro-modern,Retractable
,Angel Stadium,"45,517","Anaheim, California",Grass,Los Angeles Angels,1966,396 feet (121 m),"Modern
Retro-modern",Open
,Busch Stadium,"45,494","St. Louis, Missouri",Grass,St. Louis Cardinals,2006,400 feet (122 m),Retro-classic,Open
,Chase Field‡,"48,405","Phoenix, Arizona",Artificial turf,Arizona Diamondbacks,1998,407 feet (124 m),Retro-modern,Retractable
,Citi Field,"41,922","Queens, New York",Grass,New York Mets,2009,408 feet (124 m),Retro-classic,Open
,Citizens Bank Park,"42,792","Philadelphia, Pennsylvania",Grass,Philadelphia Phillies,2004,401 feet (122 m),Retro-classic,Open
,Comerica Park,"41,083","Detroit, Michigan",Grass,Detroit Tigers,2000,412 feet (126 m),Retro-classic,Open
,Coors Field,"50,144","Denver, Colorado",Grass,Colorado Rockies,1995,415 feet (126 m),Retro-classic,Open
,Dodger Stadium,"56,000","Los Angeles, California",Grass,Los Angeles Dodgers,1962,395 feet (120 m),Modern,Open
,Fenway Park,"37,755","Boston, Massachusetts",Grass,Boston Red Sox,1912,390 feet (119 m),Jewel box,Open
,Globe Life Field‡,"40,300","Arlington, Texas",Artificial turf,Texas Rangers,2020,407 feet (124 m),Retro-modern,Retractable
,Great American Ball Park,"43,500","Cincinnati, Ohio",Grass,Cincinnati Reds,2003,404 feet (123 m),Retro-modern,Open
,Guaranteed Rate Field,"40,615","Chicago, Illinois",Grass,Chicago White Sox,1991,400 feet (122 m),"Modern
Retro-classic",Open
,Kauffman Stadium,"37,903","Kansas City, Missouri",Grass,Kansas City Royals,1973,410 feet (125 m),"Modern
Retro-modern",Open
,LoanDepot Park‡,"36,742","Miami, Florida",Artificial turf,Miami Marlins,2012,407 feet (124 m),Contemporary,Retractable
,Minute Maid Park‡,"41,168","Houston, Texas",Grass,Houston Astros,2000,409 feet (125 m),Retro-modern,Retractable
,Nationals Park,"41,339","Washington, D.C.",Grass,Washington Nationals,2008,402 feet (123 m),Retro-modern,Open
,Oakland-Alameda County Coliseum,"46,847","Oakland, California",Grass,Oakland Athletics,1966,400 feet (122 m),Multipurpose,Open
,Oracle Park,"41,265","San Francisco, California",Grass,San Francisco Giants,2000,391 feet (119 m),Retro-classic,Open
,Oriole Park at Camden Yards,"44,970","Baltimore, Maryland",Grass,Baltimore Orioles,1992,410 feet (125 m),Retro-classic,Open
,Petco Park,"40,209","San Diego, California",Grass,San Diego Padres,2004,396 feet (121 m),Retro-modern,Open
,PNC Park,"38,747","Pittsburgh, Pennsylvania",Grass,Pittsburgh Pirates,2001,399 feet (122 m),Retro-classic,Open
,Progressive Field,"34,830","Cleveland, Ohio",Grass,Cleveland Guardians,1994,410 feet (125 m),Retro-modern,Open
,Rogers Centre‡,"41,500","Toronto, Ontario",Artificial turf,Toronto Blue Jays,1989,400 feet (122 m),Modern,Retractable
,T-Mobile Park‡,"47,929","Seattle, Washington",Grass,Seattle Mariners,1999,401 feet (122 m),Retro-modern,Retractable
,Target Field,"38,544","Minneapolis, Minnesota",Grass,Minnesota Twins,2010,404 feet (123 m),Retro-modern,Open
,Tropicana Field†,"25,000","St. Petersburg, Florida",Artificial turf,Tampa Bay Rays,1990,404 feet (123 m),Modern,Fixed
,Truist Park,"41,084","Cumberland, Georgia",Grass,Atlanta Braves,2017,400 feet (122 m),Retro-modern,Open
,Wrigley Field,"41,649","Chicago, Illinois",Grass,Chicago Cubs,1914,400 feet (122 m),Jewel box,Open
,Yankee Stadium,"46,537","Bronx, New York",Grass,New York Yankees,2009,408 feet (124 m),Retro-classic,Open
